ID,Category
10055.JPEG,"('Labrador_retriever', 'n02099712')"
10056.JPEG,"('chimpanzee', 'n02481823')"
10057.JPEG,"('chimpanzee', 'n02481823')"
10058.JPEG,"('chimpanzee', 'n02481823')"
10059.JPEG,"('chimpanzee', 'n02481823')"
1006.JPEG,"('American_lobster', 'n01983481')"
10060.JPEG,"('hog', 'n02395406')"
10061.JPEG,"('chimpanzee', 'n02481823')"
10062.JPEG,"('baboon', 'n02486410')"
10063.JPEG,"('chimpanzee', 'n02481823')"
10064.JPEG,"('chimpanzee', 'n02481823')"
10065.JPEG,"('chimpanzee', 'n02481823')"
10066.JPEG,"('school_bus', 'n04146614')"
10067.JPEG,"('chimpanzee', 'n02481823')"
10068.JPEG,"('hog', 'n02395406')"
10069.JPEG,"('hog', 'n02395406')"
1007.JPEG,"('bell_pepper', 'n07720875')"
10070.JPEG,"('chimpanzee', 'n02481823')"
10071.JPEG,"('chimpanzee', 'n02481823')"
10072.JPEG,"('spider_web', 'n04275548')"
10073.JPEG,"('chimpanzee', 'n02481823')"
10074.JPEG,"('school_bus', 'n04146614')"
10075.JPEG,"('hog', 'n02395406')"
10076.JPEG,"('hog', 'n02395406')"
10077.JPEG,"('banana', 'n07753592')"
10078.JPEG,"('chimpanzee', 'n02481823')"
10079.JPEG,"('chimpanzee', 'n02481823')"
1008.JPEG,"('pomegranate', 'n07768694')"
10080.JPEG,"('hog', 'n02395406')"
10081.JPEG,"('chimpanzee', 'n02481823')"
10082.JPEG,"('hog', 'n02395406')"
10083.JPEG,"('hog', 'n02395406')"
10084.JPEG,"('chimpanzee', 'n02481823')"
10085.JPEG,"('chimpanzee', 'n02481823')"
10086.JPEG,"('chimpanzee', 'n02481823')"
10087.JPEG,"('chimpanzee', 'n02481823')"
10088.JPEG,"('baboon', 'n02486410')"
10089.JPEG,"('chimpanzee', 'n02481823')"
1009.JPEG,"('mushroom', 'n07734744')"
10090.JPEG,"('chimpanzee', 'n02481823')"
10091.JPEG,"('chimpanzee', 'n02481823')"
10092.JPEG,"('chimpanzee', 'n02481823')"
10093.JPEG,"('chimpanzee', 'n02481823')"
10094.JPEG,"('spider_web', 'n04275548')"
10095.JPEG,"('baboon', 'n02486410')"
10096.JPEG,"('spider_web', 'n04275548')"
10097.JPEG,"('school_bus', 'n04146614')"
10098.JPEG,"('chimpanzee', 'n02481823')"
10099.JPEG,"('chimpanzee', 'n02481823')"
101.JPEG,"('hog', 'n02395406')"
1010.JPEG,"('espresso', 'n07920052')"
10100.JPEG,"('hog', 'n02395406')"
10101.JPEG,"('school_bus', 'n04146614')"
10102.JPEG,"('school_bus', 'n04146614')"
10103.JPEG,"('German_shepherd', 'n02106662')"
10104.JPEG,"('baboon', 'n02486410')"
10105.JPEG,"('baboon', 'n02486410')"
10106.JPEG,"('baboon', 'n02486410')"
10107.JPEG,"('chimpanzee', 'n02481823')"
10108.JPEG,"('birdhouse', 'n02843684')"
10109.JPEG,"('spider_web', 'n04275548')"
1011.JPEG,"('mushroom', 'n07734744')"
10110.JPEG,"('chimpanzee', 'n02481823')"
10111.JPEG,"('chimpanzee', 'n02481823')"
10112.JPEG,"('baboon', 'n02486410')"
10113.JPEG,"('hog', 'n02395406')"
10114.JPEG,"('hog', 'n02395406')"
10115.JPEG,"('chimpanzee', 'n02481823')"
10116.JPEG,"('chimpanzee', 'n02481823')"
10117.JPEG,"('spider_web', 'n04275548')"
10118.JPEG,"('chimpanzee', 'n02481823')"
10119.JPEG,"('chimpanzee', 'n02481823')"
1012.JPEG,"('acorn', 'n12267677')"
10120.JPEG,"('chimpanzee', 'n02481823')"
10121.JPEG,"('chimpanzee', 'n02481823')"
10122.JPEG,"('chimpanzee', 'n02481823')"
10123.JPEG,"('chimpanzee', 'n02481823')"
10124.JPEG,"('Labrador_retriever', 'n02099712')"
10125.JPEG,"('chimpanzee', 'n02481823')"
10126.JPEG,"('hog', 'n02395406')"
10127.JPEG,"('hog', 'n02395406')"
10128.JPEG,"('chimpanzee', 'n02481823')"
10129.JPEG,"('chimpanzee', 'n02481823')"
1013.JPEG,"('mushroom', 'n07734744')"
10130.JPEG,"('chimpanzee', 'n02481823')"
10131.JPEG,"('chimpanzee', 'n02481823')"
10132.JPEG,"('hog', 'n02395406')"
10133.JPEG,"('chimpanzee', 'n02481823')"
10134.JPEG,"('chimpanzee', 'n02481823')"
10135.JPEG,"('spider_web', 'n04275548')"
10136.JPEG,"('hog', 'n02395406')"
10137.JPEG,"('school_bus', 'n04146614')"
10138.JPEG,"('chimpanzee', 'n02481823')"
10139.JPEG,"('baboon', 'n02486410')"
1014.JPEG,"('sandal', 'n04133789')"
10140.JPEG,"('chimpanzee', 'n02481823')"
10141.JPEG,"('chimpanzee', 'n02481823')"
10142.JPEG,"('orangutan', 'n02480495')"
10143.JPEG,"('chimpanzee', 'n02481823')"
10144.JPEG,"('spider_web', 'n04275548')"
10145.JPEG,"('chimpanzee', 'n02481823')"
10146.JPEG,"('spider_web', 'n04275548')"
10147.JPEG,"('chimpanzee', 'n02481823')"
10148.JPEG,"('chimpanzee', 'n02481823')"
10149.JPEG,"('chimpanzee', 'n02481823')"
1015.JPEG,"('mushroom', 'n07734744')"
10150.JPEG,"('hog', 'n02395406')"
10151.JPEG,"('chimpanzee', 'n02481823')"
10152.JPEG,"('chimpanzee', 'n02481823')"
10153.JPEG,"('hog', 'n02395406')"
10154.JPEG,"('chimpanzee', 'n02481823')"
10155.JPEG,"('gasmask', 'n03424325')"
10156.JPEG,"('chimpanzee', 'n02481823')"
10157.JPEG,"('hog', 'n02395406')"
10158.JPEG,"('chimpanzee', 'n02481823')"
10159.JPEG,"('chimpanzee', 'n02481823')"
1016.JPEG,"('bison', 'n02410509')"
10160.JPEG,"('hog', 'n02395406')"
10161.JPEG,"('school_bus', 'n04146614')"
10162.JPEG,"('chimpanzee', 'n02481823')"
10163.JPEG,"('hog', 'n02395406')"
10164.JPEG,"('chimpanzee', 'n02481823')"
10165.JPEG,"('chimpanzee', 'n02481823')"
10166.JPEG,"('chimpanzee', 'n02481823')"
10167.JPEG,"('chimpanzee', 'n02481823')"
10168.JPEG,"('hog', 'n02395406')"
10169.JPEG,"('chimpanzee', 'n02481823')"
1017.JPEG,"('mushroom', 'n07734744')"
10170.JPEG,"('chimpanzee', 'n02481823')"
10171.JPEG,"('chimpanzee', 'n02481823')"
10172.JPEG,"('chimpanzee', 'n02481823')"
10173.JPEG,"('chimpanzee', 'n02481823')"
10174.JPEG,"('chimpanzee', 'n02481823')"
10175.JPEG,"('cannon', 'n02950826')"
10176.JPEG,"('baboon', 'n02486410')"
10177.JPEG,"('baboon', 'n02486410')"
10178.JPEG,"('school_bus', 'n04146614')"
10179.JPEG,"('chimpanzee', 'n02481823')"
1018.JPEG,"('espresso', 'n07920052')"
10180.JPEG,"('backpack', 'n02769748')"
10181.JPEG,"('hog', 'n02395406')"
10182.JPEG,"('chimpanzee', 'n02481823')"
10183.JPEG,"('chimpanzee', 'n02481823')"
10184.JPEG,"('chimpanzee', 'n02481823')"
10185.JPEG,"('hog', 'n02395406')"
10186.JPEG,"('chimpanzee', 'n02481823')"
10187.JPEG,"('baboon', 'n02486410')"
10188.JPEG,"('chimpanzee', 'n02481823')"
10189.JPEG,"('Labrador_retriever', 'n02099712')"
1019.JPEG,"('mushroom', 'n07734744')"
10190.JPEG,"('school_bus', 'n04146614')"
10191.JPEG,"('spider_web', 'n04275548')"
10192.JPEG,"('baboon', 'n02486410')"
10193.JPEG,"('chimpanzee', 'n02481823')"
10194.JPEG,"('chimpanzee', 'n02481823')"
10195.JPEG,"('chimpanzee', 'n02481823')"
10196.JPEG,"('school_bus', 'n04146614')"
10197.JPEG,"('chimpanzee', 'n02481823')"
10198.JPEG,"('chimpanzee', 'n02481823')"
10199.JPEG,"('baboon', 'n02486410')"
102.JPEG,"('hog', 'n02395406')"
1020.JPEG,"('spider_web', 'n04275548')"
10200.JPEG,"('chimpanzee', 'n02481823')"
10201.JPEG,"('chimpanzee', 'n02481823')"
10202.JPEG,"('chimpanzee', 'n02481823')"
10203.JPEG,"('broom', 'n02906734')"
10204.JPEG,"('chimpanzee', 'n02481823')"
10205.JPEG,"('chimpanzee', 'n02481823')"
10206.JPEG,"('chimpanzee', 'n02481823')"
10207.JPEG,"('cannon', 'n02950826')"
10208.JPEG,"('hog', 'n02395406')"
10209.JPEG,"('chimpanzee', 'n02481823')"
1021.JPEG,"('mushroom', 'n07734744')"
10210.JPEG,"('spider_web', 'n04275548')"
10211.JPEG,"('chimpanzee', 'n02481823')"
10212.JPEG,"('gasmask', 'n03424325')"
10213.JPEG,"('chimpanzee', 'n02481823')"
10214.JPEG,"('chimpanzee', 'n02481823')"
10215.JPEG,"('baboon', 'n02486410')"
10216.JPEG,"('hog', 'n02395406')"
10217.JPEG,"('baboon', 'n02486410')"
10218.JPEG,"('chimpanzee', 'n02481823')"
10219.JPEG,"('hog', 'n02395406')"
1022.JPEG,"('hog', 'n02395406')"
10220.JPEG,"('chimpanzee', 'n02481823')"
10221.JPEG,"('chimpanzee', 'n02481823')"
10222.JPEG,"('chimpanzee', 'n02481823')"
10223.JPEG,"('chimpanzee', 'n02481823')"
10224.JPEG,"('chimpanzee', 'n02481823')"
10225.JPEG,"('chimpanzee', 'n02481823')"
10226.JPEG,"('chimpanzee', 'n02481823')"
10227.JPEG,"('chimpanzee', 'n02481823')"
10228.JPEG,"('spider_web', 'n04275548')"
10229.JPEG,"('spider_web', 'n04275548')"
1023.JPEG,"('mushroom', 'n07734744')"
10230.JPEG,"('baboon', 'n02486410')"
10231.JPEG,"('hog', 'n02395406')"
10232.JPEG,"('sandal', 'n04133789')"
10233.JPEG,"('chimpanzee', 'n02481823')"
10234.JPEG,"('chimpanzee', 'n02481823')"
10235.JPEG,"('baboon', 'n02486410')"
10236.JPEG,"('chimpanzee', 'n02481823')"
10237.JPEG,"('hog', 'n02395406')"
10238.JPEG,"('baboon', 'n02486410')"
10239.JPEG,"('chimpanzee', 'n02481823')"
1024.JPEG,"('bee', 'n02206856')"
10240.JPEG,"('chimpanzee', 'n02481823')"
10241.JPEG,"('chimpanzee', 'n02481823')"
10242.JPEG,"('hog', 'n02395406')"
10243.JPEG,"('chimpanzee', 'n02481823')"
10244.JPEG,"('baboon', 'n02486410')"
10245.JPEG,"('chimpanzee', 'n02481823')"
10246.JPEG,"('chimpanzee', 'n02481823')"
10247.JPEG,"('baboon', 'n02486410')"
10248.JPEG,"('chimpanzee', 'n02481823')"
10249.JPEG,"('chimpanzee', 'n02481823')"
1025.JPEG,"('mushroom', 'n07734744')"
10250.JPEG,"('chimpanzee', 'n02481823')"
10251.JPEG,"('baboon', 'n02486410')"
10252.JPEG,"('baboon', 'n02486410')"
10253.JPEG,"('chimpanzee', 'n02481823')"
10254.JPEG,"('chimpanzee', 'n02481823')"
10255.JPEG,"('hog', 'n02395406')"
10256.JPEG,"('chimpanzee', 'n02481823')"
10257.JPEG,"('chimpanzee', 'n02481823')"
10258.JPEG,"('chimpanzee', 'n02481823')"
10259.JPEG,"('school_bus', 'n04146614')"
1026.JPEG,"('spider_web', 'n04275548')"
10260.JPEG,"('chimpanzee', 'n02481823')"
10261.JPEG,"('chimpanzee', 'n02481823')"
10262.JPEG,"('baboon', 'n02486410')"
10263.JPEG,"('hog', 'n02395406')"
10264.JPEG,"('chimpanzee', 'n02481823')"
10265.JPEG,"('chimpanzee', 'n02481823')"
10266.JPEG,"('chimpanzee', 'n02481823')"
10267.JPEG,"('chimpanzee', 'n02481823')"
10268.JPEG,"('hog', 'n02395406')"
10269.JPEG,"('chimpanzee', 'n02481823')"
1027.JPEG,"('mushroom', 'n07734744')"
10270.JPEG,"('hog', 'n02395406')"
10271.JPEG,"('chimpanzee', 'n02481823')"
10272.JPEG,"('hog', 'n02395406')"
10273.JPEG,"('school_bus', 'n04146614')"
10274.JPEG,"('baboon', 'n02486410')"
10275.JPEG,"('chimpanzee', 'n02481823')"
10276.JPEG,"('school_bus', 'n04146614')"
10277.JPEG,"('chimpanzee', 'n02481823')"
10278.JPEG,"('chimpanzee', 'n02481823')"
10279.JPEG,"('chimpanzee', 'n02481823')"
1028.JPEG,"('king_penguin', 'n02056570')"
10280.JPEG,"('chimpanzee', 'n02481823')"
10281.JPEG,"('chimpanzee', 'n02481823')"
10282.JPEG,"('chimpanzee', 'n02481823')"
10283.JPEG,"('chimpanzee', 'n02481823')"
10284.JPEG,"('gasmask', 'n03424325')"
10285.JPEG,"('spider_web', 'n04275548')"
10286.JPEG,"('chimpanzee', 'n02481823')"
10287.JPEG,"('chimpanzee', 'n02481823')"
10288.JPEG,"('chimpanzee', 'n02481823')"
10289.JPEG,"('baboon', 'n02486410')"
1029.JPEG,"('mushroom', 'n07734744')"
10290.JPEG,"('hog', 'n02395406')"
10291.JPEG,"('school_bus', 'n04146614')"
10292.JPEG,"('chimpanzee', 'n02481823')"
10293.JPEG,"('spider_web', 'n04275548')"
10294.JPEG,"('chimpanzee', 'n02481823')"
10295.JPEG,"('school_bus', 'n04146614')"
10296.JPEG,"('hog', 'n02395406')"
10297.JPEG,"('chimpanzee', 'n02481823')"
10298.JPEG,"('hog', 'n02395406')"
10299.JPEG,"('chimpanzee', 'n02481823')"
103.JPEG,"('baboon', 'n02486410')"
1030.JPEG,"('backpack', 'n02769748')"
10300.JPEG,"('chimpanzee', 'n02481823')"
10301.JPEG,"('baboon', 'n02486410')"
10302.JPEG,"('chimpanzee', 'n02481823')"
10303.JPEG,"('chimpanzee', 'n02481823')"
10304.JPEG,"('hog', 'n02395406')"
10305.JPEG,"('chimpanzee', 'n02481823')"
10306.JPEG,"('school_bus', 'n04146614')"
10307.JPEG,"('chimpanzee', 'n02481823')"
10308.JPEG,"('baboon', 'n02486410')"
10309.JPEG,"('cannon', 'n02950826')"
1031.JPEG,"('mushroom', 'n07734744')"
10310.JPEG,"('hog', 'n02395406')"
10311.JPEG,"('chimpanzee', 'n02481823')"
10312.JPEG,"('chimpanzee', 'n02481823')"
10313.JPEG,"('baboon', 'n02486410')"
10314.JPEG,"('baboon', 'n02486410')"
10315.JPEG,"('chimpanzee', 'n02481823')"
10316.JPEG,"('school_bus', 'n04146614')"
10317.JPEG,"('chimpanzee', 'n02481823')"
10318.JPEG,"('hog', 'n02395406')"
10319.JPEG,"('baboon', 'n02486410')"
1032.JPEG,"('pizza', 'n07873807')"
10320.JPEG,"('chimpanzee', 'n02481823')"
10321.JPEG,"('chimpanzee', 'n02481823')"
10322.JPEG,"('hog', 'n02395406')"
10323.JPEG,"('chimpanzee', 'n02481823')"
10324.JPEG,"('chimpanzee', 'n02481823')"
10325.JPEG,"('chimpanzee', 'n02481823')"
10326.JPEG,"('baboon', 'n02486410')"
10327.JPEG,"('chimpanzee', 'n02481823')"
10328.JPEG,"('chimpanzee', 'n02481823')"
10329.JPEG,"('baboon', 'n02486410')"
1033.JPEG,"('mushroom', 'n07734744')"
10330.JPEG,"('chimpanzee', 'n02481823')"
10331.JPEG,"('chimpanzee', 'n02481823')"
10332.JPEG,"('hog', 'n02395406')"
10333.JPEG,"('baboon', 'n02486410')"
10334.JPEG,"('baboon', 'n02486410')"
10335.JPEG,"('school_bus', 'n04146614')"
10336.JPEG,"('chimpanzee', 'n02481823')"
10337.JPEG,"('chimpanzee', 'n02481823')"
10338.JPEG,"('spider_web', 'n04275548')"
10339.JPEG,"('hog', 'n02395406')"
1034.JPEG,"('beacon', 'n02814860')"
10340.JPEG,"('chimpanzee', 'n02481823')"
10341.JPEG,"('chimpanzee', 'n02481823')"
10342.JPEG,"('baboon', 'n02486410')"
10343.JPEG,"('baboon', 'n02486410')"
10344.JPEG,"('chimpanzee', 'n02481823')"
10345.JPEG,"('school_bus', 'n04146614')"
10346.JPEG,"('chimpanzee', 'n02481823')"
10347.JPEG,"('baboon', 'n02486410')"
10348.JPEG,"('hog', 'n02395406')"
10349.JPEG,"('hog', 'n02395406')"
1035.JPEG,"('mushroom', 'n07734744')"
10350.JPEG,"('American_lobster', 'n01983481')"
10351.JPEG,"('hog', 'n02395406')"
10352.JPEG,"('chimpanzee', 'n02481823')"
10353.JPEG,"('chimpanzee', 'n02481823')"
10354.JPEG,"('chimpanzee', 'n02481823')"
10355.JPEG,"('chimpanzee', 'n02481823')"
10356.JPEG,"('chimpanzee', 'n02481823')"
10357.JPEG,"('spider_web', 'n04275548')"
10358.JPEG,"('baboon', 'n02486410')"
10359.JPEG,"('chimpanzee', 'n02481823')"
1036.JPEG,"('monarch', 'n02279972')"
10360.JPEG,"('chimpanzee', 'n02481823')"
10361.JPEG,"('chimpanzee', 'n02481823')"
10362.JPEG,"('hog', 'n02395406')"
10363.JPEG,"('chimpanzee', 'n02481823')"
10364.JPEG,"('hog', 'n02395406')"
10365.JPEG,"('chimpanzee', 'n02481823')"
10366.JPEG,"('hog', 'n02395406')"
10367.JPEG,"('chimpanzee', 'n02481823')"
10368.JPEG,"('chimpanzee', 'n02481823')"
10369.JPEG,"('hog', 'n02395406')"
1037.JPEG,"('mushroom', 'n07734744')"
10370.JPEG,"('chimpanzee', 'n02481823')"
10371.JPEG,"('chimpanzee', 'n02481823')"
10372.JPEG,"('chimpanzee', 'n02481823')"
10373.JPEG,"('baboon', 'n02486410')"
10374.JPEG,"('chimpanzee', 'n02481823')"
10375.JPEG,"('chimpanzee', 'n02481823')"
10376.JPEG,"('hog', 'n02395406')"
10377.JPEG,"('chimpanzee', 'n02481823')"
10378.JPEG,"('chimpanzee', 'n02481823')"
10379.JPEG,"('chimpanzee', 'n02481823')"
1038.JPEG,"('centipede', 'n01784675')"
10380.JPEG,"('spider_web', 'n04275548')"
10381.JPEG,"('chimpanzee', 'n02481823')"
10382.JPEG,"('chimpanzee', 'n02481823')"
10383.JPEG,"('chimpanzee', 'n02481823')"
10384.JPEG,"('chimpanzee', 'n02481823')"
10385.JPEG,"('chimpanzee', 'n02481823')"
10386.JPEG,"('chimpanzee', 'n02481823')"
10387.JPEG,"('spider_web', 'n04275548')"
10388.JPEG,"('spider_web', 'n04275548')"
10389.JPEG,"('school_bus', 'n04146614')"
1039.JPEG,"('mushroom', 'n07734744')"
10390.JPEG,"('spider_web', 'n04275548')"
10391.JPEG,"('hog', 'n02395406')"
10392.JPEG,"('guinea_pig', 'n02364673')"
10393.JPEG,"('chimpanzee', 'n02481823')"
10394.JPEG,"('chimpanzee', 'n02481823')"
10395.JPEG,"('school_bus', 'n04146614')"
10396.JPEG,"('chimpanzee', 'n02481823')"
10397.JPEG,"('school_bus', 'n04146614')"
10398.JPEG,"('school_bus', 'n04146614')"
10399.JPEG,"('broom', 'n02906734')"
104.JPEG,"('candle', 'n02948072')"
1040.JPEG,"('birdhouse', 'n02843684')"
10400.JPEG,"('chimpanzee', 'n02481823')"
10401.JPEG,"('hog', 'n02395406')"
10402.JPEG,"('chimpanzee', 'n02481823')"
10403.JPEG,"('chimpanzee', 'n02481823')"
10404.JPEG,"('chimpanzee', 'n02481823')"
10405.JPEG,"('chimpanzee', 'n02481823')"
10406.JPEG,"('chimpanzee', 'n02481823')"
10407.JPEG,"('pizza', 'n07873807')"
10408.JPEG,"('school_bus', 'n04146614')"
10409.JPEG,"('baboon', 'n02486410')"
1041.JPEG,"('mushroom', 'n07734744')"
10410.JPEG,"('chimpanzee', 'n02481823')"
10411.JPEG,"('baboon', 'n02486410')"
10412.JPEG,"('chimpanzee', 'n02481823')"
10413.JPEG,"('chimpanzee', 'n02481823')"
10414.JPEG,"('chimpanzee', 'n02481823')"
10415.JPEG,"('chimpanzee', 'n02481823')"
10416.JPEG,"('chimpanzee', 'n02481823')"
10417.JPEG,"('chimpanzee', 'n02481823')"
10418.JPEG,"('hog', 'n02395406')"
10419.JPEG,"('school_bus', 'n04146614')"
1042.JPEG,"('acorn', 'n12267677')"
10420.JPEG,"('hog', 'n02395406')"
10421.JPEG,"('chimpanzee', 'n02481823')"
10422.JPEG,"('hog', 'n02395406')"
10423.JPEG,"('chimpanzee', 'n02481823')"
10424.JPEG,"('hog', 'n02395406')"
10425.JPEG,"('school_bus', 'n04146614')"
10426.JPEG,"('chimpanzee', 'n02481823')"
10427.JPEG,"('baboon', 'n02486410')"
10428.JPEG,"('chimpanzee', 'n02481823')"
10429.JPEG,"('chimpanzee', 'n02481823')"
1043.JPEG,"('mushroom', 'n07734744')"
10430.JPEG,"('baboon', 'n02486410')"
10431.JPEG,"('chimpanzee', 'n02481823')"
10432.JPEG,"('hog', 'n02395406')"
10433.JPEG,"('chimpanzee', 'n02481823')"
10434.JPEG,"('spider_web', 'n04275548')"
10435.JPEG,"('hog', 'n02395406')"
10436.JPEG,"('koala', 'n01882714')"
10437.JPEG,"('chimpanzee', 'n02481823')"
10438.JPEG,"('candle', 'n02948072')"
10439.JPEG,"('hog', 'n02395406')"
1044.JPEG,"('bee', 'n02206856')"
10440.JPEG,"('chimpanzee', 'n02481823')"
10441.JPEG,"('chimpanzee', 'n02481823')"
10442.JPEG,"('hog', 'n02395406')"
10443.JPEG,"('lawn_mower', 'n03649909')"
10444.JPEG,"('chimpanzee', 'n02481823')"
10445.JPEG,"('hog', 'n02395406')"
10446.JPEG,"('hog', 'n02395406')"
10447.JPEG,"('chimpanzee', 'n02481823')"
10448.JPEG,"('hog', 'n02395406')"
10449.JPEG,"('chimpanzee', 'n02481823')"
1045.JPEG,"('mushroom', 'n07734744')"
10450.JPEG,"('chimpanzee', 'n02481823')"
10451.JPEG,"('chimpanzee', 'n02481823')"
10452.JPEG,"('chimpanzee', 'n02481823')"
10453.JPEG,"('chimpanzee', 'n02481823')"
10454.JPEG,"('chimpanzee', 'n02481823')"
10455.JPEG,"('baboon', 'n02486410')"
10456.JPEG,"('spider_web', 'n04275548')"
10457.JPEG,"('school_bus', 'n04146614')"
10458.JPEG,"('hog', 'n02395406')"
10459.JPEG,"('chimpanzee', 'n02481823')"
1046.JPEG,"('lawn_mower', 'n03649909')"
10460.JPEG,"('baboon', 'n02486410')"
10461.JPEG,"('Labrador_retriever', 'n02099712')"
10462.JPEG,"('chimpanzee', 'n02481823')"
10463.JPEG,"('hog', 'n02395406')"
10464.JPEG,"('baboon', 'n02486410')"
10465.JPEG,"('chimpanzee', 'n02481823')"
10466.JPEG,"('chimpanzee', 'n02481823')"
10467.JPEG,"('chimpanzee', 'n02481823')"
10468.JPEG,"('chimpanzee', 'n02481823')"
10469.JPEG,"('chimpanzee', 'n02481823')"
1047.JPEG,"('mushroom', 'n07734744')"
10470.JPEG,"('chimpanzee', 'n02481823')"
10471.JPEG,"('chimpanzee', 'n02481823')"
10472.JPEG,"('baboon', 'n02486410')"
10473.JPEG,"('chimpanzee', 'n02481823')"
10474.JPEG,"('school_bus', 'n04146614')"
10475.JPEG,"('spider_web', 'n04275548')"
10476.JPEG,"('chimpanzee', 'n02481823')"
10477.JPEG,"('chimpanzee', 'n02481823')"
10478.JPEG,"('chimpanzee', 'n02481823')"
10479.JPEG,"('chimpanzee', 'n02481823')"
1048.JPEG,"('sandal', 'n04133789')"
10480.JPEG,"('chimpanzee', 'n02481823')"
10481.JPEG,"('chimpanzee', 'n02481823')"
10482.JPEG,"('chimpanzee', 'n02481823')"
10483.JPEG,"('chimpanzee', 'n02481823')"
10484.JPEG,"('hog', 'n02395406')"
10485.JPEG,"('school_bus', 'n04146614')"
10486.JPEG,"('baboon', 'n02486410')"
10487.JPEG,"('hog', 'n02395406')"
10488.JPEG,"('snail', 'n01944390')"
10489.JPEG,"('spider_web', 'n04275548')"
1049.JPEG,"('mushroom', 'n07734744')"
10490.JPEG,"('beacon', 'n02814860')"
10491.JPEG,"('spider_web', 'n04275548')"
10492.JPEG,"('chimpanzee', 'n02481823')"
10493.JPEG,"('chimpanzee', 'n02481823')"
10494.JPEG,"('spider_web', 'n04275548')"
10495.JPEG,"('chimpanzee', 'n02481823')"
10496.JPEG,"('chimpanzee', 'n02481823')"
10497.JPEG,"('hog', 'n02395406')"
10498.JPEG,"('hog', 'n02395406')"
10499.JPEG,"('chimpanzee', 'n02481823')"
105.JPEG,"('baboon', 'n02486410')"
1050.JPEG,"('beacon', 'n02814860')"
10500.JPEG,"('baboon', 'n02486410')"
10501.JPEG,"('baboon', 'n02486410')"
10502.JPEG,"('baboon', 'n02486410')"
10503.JPEG,"('baboon', 'n02486410')"
10504.JPEG,"('hog', 'n02395406')"
10505.JPEG,"('baboon', 'n02486410')"
10506.JPEG,"('baboon', 'n02486410')"
10507.JPEG,"('baboon', 'n02486410')"
10508.JPEG,"('bell_pepper', 'n07720875')"
10509.JPEG,"('baboon', 'n02486410')"
